wavelength,mEmerald ex,mEmerald em
477,0.8705,0.0266
478,0.8846,0.0318
479,0.9003,0.0384
480,0.9151,0.0461
481,0.929,0.055
482,0.9436,0.0651
483,0.9568,0.0783
484,0.9691,0.092
485,0.9793,0.109
486,0.9885,0.1266
487,0.9939,0.148
488,0.9982,0.1716
489,1.0,0.1981
490,0.9969,0.2267
491,0.9908,0.2587
492,0.9797,0.2945
493,0.964,0.3315
494,0.9442,0.3714
495,0.9194,0.4155
496,0.8904,0.4598
497,0.8561,0.5088
498,0.8188,0.5594
499,0.7775,0.6104
500,0.7346,0.6649
501,0.6874,0.7182
502,0.6399,0.7666
503,0.5906,0.8161
504,0.5428,0.8622
505,0.493,0.9027
506,0.4459,0.9355
507,0.3996,0.9664
508,0.3548,0.9877
509,0.3136,0.9994
510,0.2747,0.9999
511,0.2376,1.0
512,0.2042,0.9889
513,0.1747,0.9696
514,0.1469,0.9406
515,0.1229,0.906
516,0.1015,0.8711
517,0.0838,0.8345
518,0.0686,0.7934
519,0.0553,0.7509
520,0.0454,0.7149
521,0.0362,0.6802
522,0.0307,0.6504
523,0.0257,0.6208
524,0.0212,0.5966
525,0.0178,0.5698
526,0.0157,0.547
527,0.0138,0.5275
528,0.0122,0.5084
529,0.0109,0.49
530,0.0093,0.4733
531,0.0083,0.4636
532,0.0073,0.4504
533,0.0064,0.4393
534,0.0059,0.4296
535,0.0051,0.4221
536,0.0054,0.4105
537,0.0052,0.4014
538,0.0048,0.3942
539,0.0047,0.3867
540,0.0044,0.381
541,0.005,0.3693
542,0.0056,0.3621
543,0.0053,0.3583
544,0.0054,0.3476
545,0.0053,0.3393
546,0.0046,0.3295
547,0.0058,0.3223
548,0.0057,0.312
549,0.0061,0.3015
550,0.0059,0.2908
551,0.005,0.2796
552,0.0049,0.2674
553,0.0043,0.2564
554,0.0044,0.2451
555,0.0042,0.2344
556,0.0044,0.2243
557,0.004,0.2156
558,0.0046,0.2068
559,0.0036,0.1957
560,0.0054,0.1865
561,0.0043,0.1806
562,0.0036,0.1706
563,0.0038,0.1617
564,0.0036,0.1548
565,0.0044,0.1485
566,0.005,0.1406
567,0.0041,0.1347
568,0.0037,0.1283
569,0.0034,0.1224
570,0.0042,0.1173
571,0.0041,0.1143
572,0.0047,0.108
573,0.004,0.1041
574,0.0041,0.0969
575,0.0045,0.0959
576,0.0047,0.092
577,0.0053,0.0883
578,0.0043,0.0843
579,0.0046,0.0813
580,0.0038,0.0787
581,0.0042,0.0759
582,0.0041,0.0737
583,0.0038,0.0712
584,0.0045,0.0687
585,0.0044,0.0653
586,0.0041,0.0645
587,0.0041,0.0633
588,0.0048,0.0594
589,0.0042,0.0591
590,0.0043,0.0558
591,0.0042,0.0544
592,0.0038,0.053
593,0.004,0.0501
594,0.0047,0.0492
595,0.0044,0.0472
596,0.0032,0.0461
597,0.0034,0.0441
598,0.0034,0.0417
599,0.0037,0.0407
600,0.0036,0.0388
601,0.0027,0.037
602,0.0031,0.0361
603,0.003,0.0356
604,0.0033,0.0336
605,0.0031,0.0324
606,0.004,0.0325
607,0.0039,0.0296
608,0.0043,0.0286
609,0.0038,0.0279
610,0.0047,0.0271
611,0.0034,0.0256
612,0.0042,0.0252
613,0.0038,0.0242
614,0.0045,0.0222
615,0.0041,0.022
616,0.0038,0.0223
617,0.0038,0.0208
618,0.0041,0.0199
619,0.005,0.019
620,0.0041,0.0179
621,0.0044,0.0178
622,0.0027,0.017
623,0.0041,0.0173
624,0.0028,0.0155
625,0.0032,0.0153
626,0.0026,0.0152
627,0.0035,0.0147
628,0.0037,0.0149
629,0.0038,0.0142
630,0.0041,0.0134
631,0.0037,0.0136
632,0.0045,0.0125
633,0.0032,0.0125
634,0.0033,0.012
635,0.003,0.0118
636,0.0034,0.0119
637,0.0027,0.0113
638,0.0023,0.0111
639,0.0022,0.0109
640,0.0031,0.0108
641,0.0022,0.0104
642,0.0028,0.0102
643,0.0019,0.0102
644,0.0023,0.0096
645,0.0023,0.0099
646,0.002,0.0096
647,0.003,0.0087
648,0.003,0.0097
649,0.0034,0.0088
650,0.0043,0.009
651,0.0033,0.0084
652,0.0038,0.0081
653,0.0031,0.0079
654,0.0038,0.0079
655,0.0032,0.008
656,0.0035,0.0076
657,0.0033,0.0076
658,0.0033,0.0079
659,0.004,0.008
660,0.0029,0.0071
661,0.0029,0.0078
662,0.0032,0.0075
663,0.0033,0.0073
664,0.0033,0.0071
665,0.0032,0.0073
666,0.0027,0.007
667,0.0019,0.007
668,0.0025,0.0069
669,0.0026,0.007
670,0.0034,0.0064
671,0.0028,0.0068
672,0.0036,0.0065
673,0.0041,0.0064
674,0.0036,0.0065
675,0.003,0.0065
676,0.0021,0.0067
677,0.001,0.0067
678,0.0004,0.0065
679,0.0022,0.0065
680,0.0009,0.0064
681,0.0015,0.0065
682,0.0004,0.0064
683,0.0007,0.0071
684,0.001,0.0069
685,0.0013,0.0066
686,0.0016,0.0068
687,0.0014,0.0061
688,0.0018,0.0069
689,0.0005,0.0061
690,0.0017,0.0065
691,0.0004,0.006
692,0.0012,0.0068
693,0.0012,0.0067
694,0.0002,0.0063
695,0.0011,0.0063
696,0.0021,0.0064
697,0.0022,0.0067
698,0.0023,0.0068
699,0.0022,0.0064
700,0.0017,0.0064
